labels,text
"Yup, oh... here you go. Oh, thank you. Here, get yourself an eraser for your troubles. Oh-ho.
I forgot about this. 
My aunt made it for me when I started college. Aw, did she hate you? Why? Because I got an ugly, itchy sweater, and my brother got a car? No, I was her favorite.",1
"Hi! Hey! Uh, Pheebs, about your mom... Yeah?",0
"Oh umm, my big scene is coming up. Big scene coming up. If you said, ""Big lima bean, bubbling up."" Would she understand the difference? Rach? What are you doing? Oh boy, I just can't watch. It's too scary!",1
"I didn't know he could get me fired! What am I going to do? Well y'know Joey, you're a pretty charming guy. Thanks, but I kinda have a problem to deal with here.",0
"Leonard. Come, join us. Hey, Dave.
And Penny, what a surprise. Dave was just showing me around the university. This place is unbelievable! I know, I've been offering to show you around for a year and a half. You always said you had yoga. - Maybe I heard you wrong. A lot of words sound like ""yoga.""",1
"Chandler, I think I am sick Really? Struck down in the prime of life.",1
"Yes, I know, men can't fly. Let's assume that they can. Lois Lane is falling, accelerating at an initial rate of 32 feet per second per second. Superman swoops down to save her by reaching out two arms of steel. Miss Lane, who is now traveling at approximately 120 miles an hour, hits them and is immediately sliced into three equal pieces.",0
"Remember what happened the last time I did an interview for them? I said I write a lot of my own lines, then the writers got mad and made my character fall down the elevator shaft. So who knows what I might say this time. If only there was something in your head to control the things you say.",1
"Yes. Yes, there is, they play on Sundays and Monday nights. Oh shoot! I work Monday nights. Umm, this stuffing is amazing. Do you think we should bring them some? When they're hungry enough, they'll come in.",0
"Dr. Jeffries, hello again. Leonard Hofstadter. Oh, oh, right, I remember your-your girlfriend. Is-Is she... is she here? No, she's not. So, what prescription are you getting filled? - Sheldon. No. Wait, I want to guess. Don't tell me. I wasn't going to tell you. - No, no, no. I'm really good at this. All right, give me a hint. Does it involve difficulty initiating a stream of anything?",0
"What? Y'know, so I don't read as many important books as you do, and I don't write trick poems that seem to be about one thing but are actually about something else. And y'know what, I get excited about stupid stuff, like when I my Whoa, whoa, whoa.",0
"So nice you could join me this evening. You're looking lovely as always. Thanks, Howard.  Always nice to be part of your masturbatory fantasies. Come on, Katee. Don't make it sound so cheap. I'm sorry, fiddling with yourself in the bathtub is a real class act.",1
"Hey, have you told your parents you're dating this short glass of skim milk here? Uh... that's different.
First of all, we're not engaged; and second, Indian parents are very protective of their children. Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons. I gargled with tequila and may have swallowed a teeny bit.",0
"I've missed you. All right, say hello to your mother for me. Okay. What? You said you were going for a walk. I didn't say outside. So what, you're just gonna walk up and down the stairs?",0
And this is a schematic for a bird-trapping device that will ultimately backfire and cause me physical injury? What I'm doing here is trying to determine when I'm going to die. A lot of people are working on that research. So what is all this?,1
we decided that the time was right to take a step forward. Okay. Do you want to say it? Let's say it together. We're getting a turtle! This is why I've been saying we should keep champagne on ice.,1
"Hey. What, what are you doing here? Well, I-I thought a lot about what you said, and um, I realilized duh, all right maybe I was a little judgmental. Yeah, oh, but oh... Look now, Phoebe remember, hey, their just fulfilling their Christmas....",0
Wish I could switch with someone. I really don't wanna sit with Allen Iverson over there .,0
"Helo! Anybody in there order a celebrity? What was that? Oh he is just a crazy guy who roams the halls here. He is great with kids though! Is he alright out there by himself? Oh yeah he has a caretaker his older brother, Ernie. You can't make this stuff up!",0
"So, um, will you bring the truck? I'll even let you ring the bell. Oh, my god. See, there you go, the cleansing works!",0
"I don't want to rush you, but I'm closing a little early tonight. Ooh. Hot date? Uh, no. I overheard Bernadette tell Howard she was making him a meat loaf, and you don't have to not ask me twice.",0
"Sorry I snapped at your Rose. It's just that I am upset, I am very upset. Is it because you threw Michael out? No, its because I cannot make any sense of those commercials for obsession.",1
"You're kidding. You've got lotions and bath oils and soaps. That's the estrogen hat trick. What it is is a cacophonous assault of eucalyptus, bayberry, cinnamon and vanilla. It's as if my head were trapped in the pajamas of a sultan. If you don't like this stuff, let's go next door and build her a bear.",1
"I do! Want a hint? huh? ""I do""  ""I do"". Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. David is going to propose to Phoebe. What?  Why?",0
"Aren't you with that girl over there? Well, yeah, kinda. Um, but that's okay, see we have an understanding, um, see we each have this list of five famous people, so I'm allowed to sleep with you. No, no, no, it's flattery.",0
"Pastries such as bear claws? Yeah, sure. I don't like bear claws. Hey, Penny. Dumbass. Leslie Winkle. Of all the overrated physicists in all the labs in all the world, why does it have to be Leslie Winkle? They have a lot in common. I mean, they're both scientists. Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space.",1
"FYI, we plan on selling out the human race hard. In 20 years, who knows what'll happen with any of us? I think you and Leonard will be together. You do? Yeah.
I think you're the best couple I know. That's so sweet. What the hell?! Excuse me? Ah-da-da-da-da! Let the dead man talk. So, why do you think that?",0
"I guess they really do read their mail. Hey, isn't that Professor Proton? Oh, yeah. Look at him, just standing in line like he wasn't moderately famous 30 years ago. - Let's go say hello. - Oh, maybe we shouldn't bother him. I'm not going to bother him, I'm going to talk to him.",0
No! He blew us off! What?! I know! I can't believe it.  Can I tell you something? I'm a little mad at him now.,0
"That only is not funny, it's physically impossible! Okay? Depending    on the species I'd have to have a six foot long... It's not funny!",0
This is so exciting! I haven't seen my monkey in almost a year Why? You never look down in the shower?  Oh please I am allowed one joke in the monkey is penis genre.,1
"Oh, hey, Stuart, I got you a little souvenir from my trip to space. Well, Howard, that's very nice of you. Yeah, maybe. Open it first. It's my official NASA portrait. ""To Stuart, your comic book store is out of this world. Just like the guy in this picture was.""",0
"Scott scott come back. You have to realize that we are a bunch of people with severe problems. We have been trying to help ourselves, just like you have been trying to help yourself. That's why we need to help each other. I mean, you seem like a decent guy. And I am sure every person here really really wants you to join our group.",1
"Are you saying that you've been holding back? Of course. Out of respect. So, how do you explain the ten years before Penny? Who were you respecting then? Well, I've dated plenty of women. There was Joyce Kim, Leslie Winkle Notify the editors of the Oxford English Dictionary. The word ""plenty"" has been redefined to mean ""two.""",1
"Leonard, this is Tom. Hi, Tom. Sheldon? Didn't I explain to you about your little mistake in the cafeteria? You were very clear. As was everyone else at the table.",0
"So, what are you working on these days? I'm studying one-celled organisms to try and find the neurochemicals that lead to the feeling of shame. What would a one-celled organism have to be embarrassed about? Same as all of us, getting out of a car without underwear.",1
"There are always do-overs when my people play sports. Where were you that's more important than Wii bowling night? Actually... It's rhetorical.
There is nothing more important than Wii bowling night. Come on, it's just a video game. And we suck at it. Nice motivational speech from the team captain. Where were you? ""Dave."" Sounds like Leonard's got a new BFF.",1
"Awkward silence. Sheldon on his phone.
No touching. Somebody's having date night. It's actually steamier than it looks.
Sheldon's looking up the phallic symbolism of root vegetables in Renaissance paintings. Oh, no, I got bored with that.
I'm just browsing cuticle scissors on Amazon. How do you not tear off his clothes and take him right here on this table?",1
Um-hmm. Oh wait! This is Bonnie. Hi! This is Bonnie?  This is Bonnie?  You're Bonnie? I can show you an ID if you want?,1
"Do you guys have any exta ribbon? Oh yeah sure, what do you need? We got lace, satin, sateen, rafia, gingam , felt. And I think my testicles may be in here too",1
"When I was a little boy and got sick, which was most of the time, my mother would read it to me. It's about an Indian princess who befriends a monkey who was mocked by all the other monkeys because he was different. For some reason, I related to it quite strongly. I know the reason. We all know the reason. Sheldon, what are you getting at? That woman looks exactly like the pictures of Princess Panchali in the book. How often does one see a beloved fictional character come to life?",0
"So Ross, how was the date the other night? Did you tell her about the magical night that starts with the flush of every toilet?",1
"It has umm, three beautiful bedrooms and ah, no baths. But y'know, the ocean is right there. Knock, knock, knock. Ah, oh, hang on a second. Come in, come in. All right, so think about it, and call me back.",0
"Hey, I wasn't the only one who looked like an idiot. All right? Remember when Ross tried to say, ""Butternut squash?"" And it came out, ""Squatternut buash?""",0
"It's not like I was invited to Richard Feynman's house and have anything better to do. Is this how the rest of the night's going to be? I don't know the future. Do you think there's a chance that an asteroid could hit the Earth, destroying Feynman's house and everyone in it? No, Sheldon. Then buckle up; you're in for a cranky night.",0
"The backwash into this glass is every pathogen that calls your mouth home, sweet home. Not to mention the visitors who arrive on the dancing tongue of your subtropical girlfriend. Hey! That's my sister and my country you're talking about. Leonard may have defiled one, but I won't have you talking smack about the other. You guys ready to order? Yes, I'd like a seven-day course of penicillin, some, uh, syrup of ipecac-- to induce vomiting-- and a mint.",1
"Rach rach, we gotta settle Settle what? The Jamestown colony of Virginia. You see King George is giving us the land, so.",1
"Hi Tag! Hey, so did you have fun with uh, with Joey last night? Oh yeah! We went to the Knicks game. Ohh that's nice. Then we went to this bar and he hooked us up with all these women!",0
Oh no What? You were right. Your larynx is terribly inflamed. I've never seen anything like it.,1
"I can't take it anymore. So you win, okay? Here! Pheebs?",0
"Three, sadly, are dead. Mom, you remember Rajesh? Rajesh, my mother. Of course. Mrs. Cooper. So nice to see you again. Well, it's so nice to see you, too. I thought it was our Indians that had the occasional alcohol problem. We don't say that, either. I'll make you a list. Oh, that would be mighty white of you.",0
"What an interesting approach to guitar instruction. You know some might find it amusing, I myself find it regular.",1
Will you get me a white zinfandel and glass of red for Janice. Janice? Janice?,1
"to rebrand the stuff as a cure for constipation. Way to make lemonade.
You know, from around the corner where fudge is made. Hey, I got a favor to ask. Sure. My mom's been kind of an emotional wreck since that dentist she was dating dumped her. Dumped her? What, did he use a forklift?",1
"It's like a waterfall of liquid gold. My turn. You know, I don't even know what the point of me staying in L.A. is. I haven't gotten a single acting job since I moved out here. The closest I came was last month, I got a callback for a hemorrhoid commercial. Oh, I could so see you being the face of hemorrhoids.",1
"and a super executive ant farm with glow-in-the-dark sand? - What if he buys his own desk? Yeah, what if I buy my own desk? - That's ridiculous. - Why? Because… Yes? It's my office. All right, all right. He can buy his own desk.",0
"Oh, that's uh, that's pretty nice but I'm gonna go with the one I picked first. Oh my God Chandler, the one you picked is gone. It's over! What? Some guy bought it. I'm sorry. I tired to stop it but they put me in jail!",0
No. How long have we been home? About a half an hour. Lovely,1
"And shake twice for Texas. Something his mother taught him. All right, Elizabeth, the bathroom is yours. The seat is down, and has been sanitized for your protection. That's very thoughtful, but I think I'll finish my coffee first.",0
"Great Caesar's ghost, look at this place. So Penny's a little messy. A little messy? The Mandelbrot set of complex numbers is a little messy. This is chaos. Excuse me. Explain to me an organizational system where a tray of flatware on a couch is valid. I'm just inferring this is a couch because the evidence suggests the coffee table is having a tiny garage sale.",1
"This will be your phone. That's great. But uh, I'm not really expecting a lot of calls. No you answer it and take pledges. But I'm the host!",0
"There it is again.
Do you kiss your mother with that mouth? Oh, well, I'm sorry for your loss.
- Oh! - Good night, sir. Unbelievable.
He says Wolowitz deserves my spot because he's a high-profile asset to the university. Well, he's not wrong.
Howard did go to the International Space Station. Yeah, that was five weeks ago. How much longer is he gonna milk that cow?",0
"Oh Oh car car. Its Ross on one of his drives What is he doing here? He is saving your butt. Unless ofcourse I am stepping on some toes here, in which case I can just mosey on. I have plenty of people to help in the interstate. Oh no, now its not gonna make any sense",1
"Baby, you're not that kind Don't go breaking my heart Anybody do ""Walking on Sunshine"" yet? No Dibs. I'm sorry, Sheldon bought a loom and learned how to weave?",0
"Oh, that's Ross's. Oh...  Oh my God. He remembered. Remembered what? It was like months ago.",0
"Have you found her? Oh yes Blanche, about a half hour ago. But now I have hidden her again so you can find her.",1
"Oh, great. Although I did sit down where there wasn't a chair. By the way, Ross dropped by a box of your stuff. Oh, well, I guess I had that one coming. I'm just gonna throw it out, it's probably just a bunch of shampoo and...",0
"I was not panicked, and I am not overly attached to Leonard. You were so worried that you smashed your face trying to check on me.
You love me. Yeah. Tell me those aren't the words of a man with a spider eating its way through his brain. Amy, you're a neuroscientist.
Crack his skull open, spray some Raid in there. I love that you take pride in your looks, even when I have to pee in the morning, and you're in there spending an hour on your hair.",1
"Yeah. Listen about that, the whole uh, who came on to who thing really doesn't matter. I mean, I think it would've happened either way. I mean if you hadn't initiated it I-I-I know I would've.",0
"I'm sorry about all of Sheldon's interruptions.
He can be a bit of an eccentric. If by ""eccentric"" you mean passive-aggressive East Texas blowhole, I agree. I think tonight was a very good start.",0
"Howard and Bernadette, Raj and his girlfriend, Penny and Chardonnay, Penny and you. There isn't any ranking. And if there were, we wouldn't be at the bottom of it. Yeah, and actually, I drink Sauvignon Blanc. That's the part you have a problem with? Relax. There they go, fighting again. You'd never hear her talk that way to Sauvignon Blanc.",1
"You know whats sadder than this? Bambi. I cried for three days with that movie. No wait two, cause on the thrid day my mother killed herself, so I was partly crying for that. See now that I see crying over, but Bambi, is a cartoon.",1
"Saucy. I'll be back in two minutes. You are going to leave me like this Knowing you are here, waiting for me, it is kind of exciting isn't it? Okay, but if you are not coming back soon, there is pretty much nothing I can do about it",1
"I know, it was amazing! I mean, we totally nailed it, it was beautiful. Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball. Oh well, okay, good luck. : Yeah.",0
"Okay, Mr. Heckles, we'll try to keep it down. Thank you. I'm going to rejoin my dinner party. All right, bye-bye. Okay, Janice. Janice. You gotta give me Janice. That wasn't about being picky.",0
"You know? Forget it! No-no-no-no, no! Who, who were you talking about? No, I-I-I-I don't, I actually don't know Ok!",0
"Okay, well Ross, what is this really about? Look, this is my home and I want to be able to come and go whenever I want! Okay, I will find someplace else to do the rest of my appointments. I just don't know what the big deal is! The big deal is I don't want naked, greasy strangers in my apartment when I want to kick back with a puzzle,beer! Cold beer.",0
"Whoa ostralopificus isn't supposed to be in that display. No, no, Homohabilus was erect, Ostralopificus was never fully erect. Maybe he was nervous.",1
"How many times have I told you guys, you Hi Chandler. Hey! Uh, listen, I need that broiling pan that Joey borrowed the other day.",0
"According to Chandler, what phenomenon scares the bejesus out of him? Michael flatly lord of the dance That is correct! The Irish gig guy? His legs flail about as if independent from his body",0
"Quack quack, quack quack, quack quack. We were wondering what was taking so long with the gift, but now we understand you were doing this.",1
"Okay, well then how about a handshake? Oh God I'm sorry! Oh God, I'm sorry! I did not mean to touch that,I mean",0
"We did it. We have the west coast feed of hbo. Ooh,real sex. Big deal. Every time I watch that show, it's old women putting condoms on cucumbers. All right,let's see what's on the east coast feed. Dune. Not a great movie, but look at that beautiful desert.",0
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake. Y'know who has a great video camera? Greg and Jenny? Do you still wanna call  'em? I wanna call  'em.,0
"I don't want to be single. I just, I just want to be married again. And I just won a million dollars!",0
"The surf and turf sounds good.
See if they corn on the cob. Guys!
We're trying to get him out of here, not you in. You're wasting your time.
Just please, leave me alone. Now what? I don't know. We could go to Red Lobster and talk about it. We're all thinking it. I just had the decency to wait for him to leave.",0
"So, Bernadette, how goes the hunt for bridesmaid dresses? Well, if you don't mind looking like an orange traffic cone, great.",1
"But I am still upset. Are you upset because you don't know what to do about Al? No, she I supset because Jimmy Swaager can't cover his motel bill",1
"That lecture was a waste of time. I made more accurate diagrams of the expansion of the early universe on the nursery wall with the contents of my diaper. Are you getting sick? No, I'm just allergic to people who get Nobel Prizes for no good reason.",1
"What? Ace is high! Jack, queen, king, ace! No! Ace is low! Ace, two, three, four! I don't know. Ooh! Ooh! Look it! Ah-ha! All right, cut, let's pick again, pick again.",0
"It's just such a fascinating story. Your calculations are way off, but they find the element anyway. It's like misreading a treasure map and still finding the treasure. Can we talk about something else? Do you know that I yodel?",0
"After the party I saw Rachel kissing that jerk from her office out on your balcony. Our balcony? Seriously? That's so funny because I told Monica we should put lights on our balcony. - And she said - ""No no, its too cold, nobody will go out there.""  - I said ""Maybe if we put some lights out there they will"".",1
"it will establish you as the ""alpha"" male. You see... when a female witnesses an exhibition of physical domination, she produces the hormone oxytocin. If the two of you then engage in intercourse, this will create the biochemical reaction in the brain which lay people naively interpret as ""falling in love."" Huh Would it work if I just punched you in the face?",0
"The most unbelievable thing has happened. Underdog has gotten away. No, no the actual cartoon character .. Of course the baloon.",1
"Oh. Thank you. Ohhh, thank you very much. Oh, thank you for coming.  Uh, just a second! No-no, let me in! Phoebe? Yeah!",0
"Oh, sweetie, guests don't normally wear corsages to a wedding. 
That's more of a prom thing. I never went to my prom. 
My mom paid my cousin to take me, but he just used the money to buy drugs. Put the corsage on her. When you're done copping a feel, that goes on my wrist. When you're done copping a feel, that goes on my wrist.",1
"Hi umm, listen come here, come in. I'm so-so sorry about yesterday. I-I'm really sorry. It's just that I",0
"ma I think you should sit down Dorothy, should I get Sophia a glass of water? Rose, you should sit here and watch her hack herself to death",1
"I know, it is isn't it? No, I mean it, this feels really good. Is it a hundred percent cotton? Yeah! And I got it on sale, too. Anyway, I should go, one of the lifeguards was just about to dismantle a nuclear device.",0
"Come on, no peeking! Our eyes are closed and we're about to cross the street. Very good. Okayyyyy, open up! What did you want to show us? Because all I can see is this bitchin van",0
"Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help put together my new furniture. Yes and we are ""very"" excited about it.",1
"Okay thatÕs like the least fun game ever. Well I am really sick of your smoking. So I brought something that is going to help you quit. Nope, that patch is no good.",1
"Hi. Look um, about what happened earlier... No, hey, well, I-I completely understand. You were, you were stressed. I was gonna give you a chance to apologise to me. For what? For letting you throw me out of your office?",1
I am having a bit of trouble telling when people are sarcastic. Noooo. Really?,1
Where are we going? You're driving me to the mall. I'm going to acquire a book that summarizes the current theories in the field of friend-making. Why don't you just lie down on the floor and swim there?,1
"Are you referring to my man's bag? At first it I thought it just look good. But its practical too, check it out! Its got compartments for all your stuff. Your wallet, your key, your addressbook. Your makeup?",1
"Mmm Mmm This is so good, that I am gonna enjoy it in the balcony. I can enjoy my view, whilst I enjoy my desert.",1
"You guys make a Yeah, we look great together. Okay. Wow! Imagine what our kids would look like!",0
"No you do,y'know what, you're not gonna suck me into this. Oh sure I am, because you always have to be right. I do not always have to be,okay, okay.",0
"Howard, what did you do? They're called tattoo sleeves. Look. I got them online. Raj got a set, too. Fantastic, right? Put them on, have hot sex with some freaky girl with her business pierced, take them off, and I can still be buried in a Jewish cemetery. You know, I've always wanted to go to a Goth nightclub.",1
"after you had a snootful of this, laddie! Funny. You boys have a nice time? Yeah, it was great. Low-key, like I promised. 
No hanky-panky, no strippers.
Just the guys telling jokes. That's nice. How about you? Did you have a fun night? Yeah, we, uh, made gift bags, had wine, and then went online and saw this.",1
"Okay, I can do this. I can tell her how I feel. Just uh, just stand up straight. Take a couple deep breaths.",0
"You slept with him? I didn't know what else to do.
He had those big, sad eyes. Oh, sure, you had no choice. He looked at me like this. Well, if that's all it takes, it's a good thing you don't have a dog.",1
"What if you could keep the apartment and get the tickets. Done Let me finish, talking about a bet, winner takes all We could end up with nothing. Or you could end up with everything I like that! So what do you say? No Just do it! Oh Oh, I am convinced!",1
"And! And! Ah! Hey, my father's house does that.",0
"Hey Pheebs! Ohh! You made up! Yeah, I couldn't be mad at him for too long. Yeah, she couldn't live without the Chan Love.",0
"There's a 39.95 lover's special at P.F. Chang's. Egg rolls, dumplings, bottomless wok, and you get your picture taken on the big marble horse out front. Given that Saint Valentine was a third century Roman priest who was stoned and beheaded, wouldn't a more appropriate celebration of the evening be taking one's steady gal to witness a brutal murder? I understand your point, but given a choice, Jews always go with Chinese food.",1
"Oh, there it is: now that you don't have a girlfriend, you want to hang out with me again. I never stopped hanging out with you. Oh, please, we all know I'm the friend you call when you have no other options. If we were the Justice League, I'd be Aquaman. I wish you were Aquaman. Then I could send you to scoop my mom out of the old lady tank. Excuse me, I'm thirsty, so I'm going to go to the refrigerator and get myself a refreshing beverage.",0
"For starters, they shed and bite. Hey, here's a thought.
Why don't we put up the rest of the money that Stuart needs? So, we'd be, like, owners of a comic book store? It's kind of a dream come true. That does sound fun. Ooh, maybe we could come up with a business plan to compete with this place. I'll give you a plan right now. Step one: open comic book store. Step two: start rumor this comic book store gives you genital warts.",0
"You are dead meat I didn't know it was a big secret. No its not big, not at all. Kind of the same lines as, I don't know, having a third nipple!",1
I've had better. Okay! When?! All right! All right! It was the best nap ever! Uh-huh!,0
"Don't push me, Sheldon.
I may be small, but I took kung fu when I was 13, and I remember a good deal of it. Oh, really? Well, I grew up with an older brother and a very contentious twin sister. And I believe I could easily best you in any physical confrontation-- be it noogies, swirlies or the classic ""Why are you hitting yourself?"" Ooh, big talk from a man who was once treed by a chicken.",1
"You can't go away this weekend, its Emma's birthday, we are having a party. Well can't you just have the party when we get back? No, it won't be her real birthday. Gee, if only she were one and had no idea what a birthday was.",1
"Y'know what, actually ..   Okay, okay, okay, what's so funny over here? I thought you didn't smoke. Oh, I thought you guys meant marijuana cigarettes, y'know? Y'know what I mean, like dubbies?",0
"Isn't she happy here? I think she will be happy with Gloria What about us? Whose gonna keep after us. Make us linguini and tell us story about Cicily. I don't know Rose, maybe Marry Poppins has an Italian cousin.",1
"It is, isn't it? (gasps) Oh, bother. Isn't that just always the way? 
You go to staple something, and you're out of staples. Gosh, I wish I'd known that earlier today when I was at Staples. You have a thing of paper clips right there.",0
"I just want to go back to my cell, cause in my cell I can smoke. Smoke away! I think this is probably why Damone smokes in his cell alone.",1
"And sometimes I may be away longer, like this. But I'll still always come back, like this. And sometimes I would want you to steal third, and I'll go like this.",1
"Because it's not a costume, it's a flight suit. Ok, alright, moving on. Oh, wow. A paisley shirt. It goes with my corduroy suit. If you mean it should end up in the same place, then I agree. Is this your only tie? Technically, yes. But, if you'll notice... It's reversible!",0
"She is miserable. Just to keep me upto speed Dorothy, it is this negligent arson that prospect of spending the rest of her wiening years in jail thing right? No itÕs the rose in the kitchen thing.",1
"You know, joking, kidding around, hurting feelings. Okay, my turn. 
Let me talk to him. Go ahead. 2311 North Los Robles Avenue, Pasadena, California to International Space Station.
Can you read me? Over. (imitates walkie-talkie static) Yes, I read you, Sheldon. Copy that. Over. (imitates walkie-talkie static) What are you doing? I am talking to a man in space. If you don't have the (walkie-talkie static) then he might as well be at the Coffee Bean over on Lake Street.",0
"A gallant man would defend his fiance for being called a urethra. Can we please change the subject? Well, that didn't go your way. Dr. Lorvis, what are you doing here? Uh, well, actually I came to see you. Really? Why? Ah, that's a good question. Apparently someone was being awfully flirty while not wearing their engagement ring, causing another someone to show up here thinking the first someone might be available.",1
"I will have one. Okay, I'm not gonna have one. No, no, it's just my tooth. All right I'll have one.",1
"Oh so pretty, this must have cost him a fortune. Oh c'mon Ross, remember back in college when he fell in love with Carol and bought the ridiculosly expensive crustal duck? What did you just say? Crustal duck. No, no, no, the love part? Oh my god! ThatÕs good, just keep rubbing your head. That will turn back time",1
Look out! You almost crushed my hat Sorry And the bunny got away!,1
"Thank you. So, shall we get started? Sure.
But can I ask you a question first? Do you want to play Cylon and colonist? I want to know why you're playing make-believe with me when you could be out with a real woman tonight. You mean, Bernadette? No, I mean Princess Leia. Of course I mean Bernadette. She's a wonderful girl and she really likes you.",1
"But that reminds me, sign this. What is it? Its nothing, just that you can't sue the city incase you scrap your knee or your know get your head blown off. Oh hurry up, I want to sign that.",1
"Yeah, well, Bernadette's a little under the weather and my mom's kind of under my dentist. Wait, your, your mother is sleeping with your dentist? Former dentist.
I need a new one now that I know where his hands have been. So you're wandering all around by yourself?
That's not the kind of hero's welcome an astronaut should come home to. It's okay, you know, we space cowboys don't do what we do for glory and fame. We leave that to your rock stars and your athletes and your Howie Mandels.",0
"Your mom called me. So is this her? No, this is a loaner. I'm sorry you had to do this by yourself. I wasn't by myself. I had a doctor, a nurse, and a helper guy. So, did you see who won the game?",0
"You mean when he was little. Not as little as you'd want him to be. You know, this stuff is horrible.
You want to see if we can find the cafeteria and get real coffee? Sure. We're going to the cafeteria to get some coffee. 
You want anything? I'm fine. That's nice that they're getting along. Your girlfriend and your ex-girlfriend are hanging out together? Oh, yeah, that can only be good for you.",1
Hello everybody! How was your week? Amazing.,1
"It's true-- you're both gorgeous. Kind of says something about the man who could bed you both. You get why I've been alone most of my adult life. So, what brings you by? Well, I don't need a reason-- it's my house.",0
"I can't take it any more! So you win, okay? Pheebs? Flying a jet? Better make it a spaceship so that you can get back to your home planet! And Ross, phone call for you today. Tom Jones, he wants his pants back! And Hornswoggle? What? Are you dating a character from ""Fraggle Rock""? Ahh.",1
"Wait donÕt leave me, what will I do if they come back? Show them your slides of Hawaii",1
"So uh, does it do anything uh special? Well yes Ross, pressing my third nipple opens the delivery entrance to the magical land of Narnia.",1
Where the hell have you been? I was making a coconut phone with a professor.,1
"Do you know what just happened? Yeah. We-we had sex and then we fell asleep. No. We were in the middle of sex .. and Nooo! No, that's not true. No, best time ever! Yeah, you rocked my world!",1
"I mean, I couldn't not know, I mean, if, if the doctor knows, and Carol knows, and Susan knows.... And Monica knows… Wha, heh, how could you know, I don't even know! Carol called me to thank me for the lasagna, I asked, she told me.",0
Hey Chandler? Monica just broke my sea-shell lamp. Me? I am gonna die alone!,1
"but wait to be captured or killed. That's the worst part, the waiting. All the while knowing that there's a paint pellet out there with your name on it. The big wet ball of death. Kind of makes you feel more alive, doesn't it?",1
"Pheebs, that's great! Oh, yay! But y'know umm, Rachel doesn't rhyme with draddle. I know but it's so hard! Nothing rhymes with your stupid name!",0
